Group	V1	v2	v3	Rank_1	Rank_2	Rank_3
1	3.00	3.00	3.00	2	2	2
2	3.00	3.00	0.00	2.5	2.5	1
3	3.00	1.00	1.00	3	1.5	1.5
4	2.00	2.00	1.00	2.5	2.5	1
5	0.00	0.00	0.00	2	2	2
6	2.00	2.00	1.00	2.5	2.5	1
7	1.00	0.00	1.00	2.5	1	2.5
8	2.00	1.00	1.00	3	1.5	1.5
9	0.00	1.00	0.00	1.5	3	1.5
10	0.00	1.00	1.00	1	2.5	2.5
11	3.00	3.00	1.00	2.5	2.5	1
12	3.00	3.00	3.00	2	2	2
13	3.00	3.00	1.00	2.5	2.5	1
14	3.00	2.00	1.00	3	2	1
15	2.00	2.00	1.00	2.5	2.5	1
16	2.00	3.00	0.00	2	3	1
17	2.00	1.00	1.00	3	1.5	1.5
18	1.00	2.00	2.00	1	2.5	2.5
19	1.00	1.00	0.00	2.5	2.5	1
20	3.00	2.00	2.00	3	1.5	1.5
21	2.00	1.00	2.00	2.5	1	2.5
22	3.00	3.00	2.00	2.5	2.5	1
23	2.00	2.00	1.00	2.5	2.5	1
24	3.00	2.00	1.00	3	2	1
25	3.00	0.00	1.00	3	1	2
26	3.00	2.00	2.00	3	1.5	1.5
27	3.00	3.00	2.00	2.5	2.5	1
28	2.00	2.00	2.00	2	2	2
29	2.00	1.00	2.00	2.5	1	2.5
30	3.00	3.00	1.00	2.5	2.5	1
31	2.00	2.00	1.00	2.5	2.5	1
32	2.00	2.00	0.00	2.5	2.5	1
33	2.00	3.00	3.00	1	2.5	2.5
34	3.00	3.00	3.00	2	2	2
35	3.00	3.00	3.00	2	2	2
36	2.00	2.00	2.00	2	2	2
37	2.00	3.00	2.00	1.5	3	1.5
38	2.00	3.00	1.00	2	3	1
39	3.00	3.00	2.00	2.5	2.5	1
40	3.00	2.00	1.00	3	2	1
41	3.00	2.00	2.00	3	1.5	1.5
42	2.00	2.00	1.00	2.5	2.5	1
43	1.00	2.00	2.00	1	2.5	2.5
44	2.00	1.00	1.00	3	1.5	1.5
45	1.00	3.00	2.00	1	3	2
46	1.00	2.00	2.00	1	2.5	2.5
47	3.00	3.00	3.00	2	2	2
48	3.00	3.00	2.00	2.5	2.5	1
49	2.00	3.00	0.00	2	3	1
