X1	X2	X3	Group	Rank_1	Rank_2	Rank_3
12.00	13.00	12.00	1	1.5	3	1.5
10.00	11.00	5.00	2	2	3	1
9.00	7.00	6.00	3	3	2	1
14.00	13.00	7.00	4	3	2	1
8.00	9.00	8.00	5	1.5	3	1.5
11.00	10.00	6.00	6	3	2	1
13.00	13.00	7.00	7	2.5	2.5	1
16.00	12.00	8.00	8	3	2	1
8.00	6.00	4.00	9	3	2	1
5.00	5.00	3.00	10	2.5	2.5	1
5.00	6.00	3.00	11	2	3	1
6.00	6.00	5.00	12	2.5	2.5	1
5.00	4.00	3.00	13	3	2	1
3.00	2.00	4.00	14	2	1	3
4.00	3.00	1.00	15	3	2	1
2.00	1.00	1.00	16	3	1.5	1.5
3.00	2.00	3.00	17	2.5	1	2.5
4.00	3.00	3.00	18	3	1.5	1.5
