y	x1	x2	x3	x4	x5	x6	NewY	newx1	newx2	newx3	newx4	newx5	newx6
60323.00	83.00	234289.00	2356.00	1590.00	107608.00	1947.00	0	0	0	486	134	0	0
61122.00	88.50	259426.00	2325.00	1456.00	108632.00	1948.00	799	5.5	25137	455	0	1024	1
60171.00	88.20	258054.00	3682.00	1616.00	109773.00	1949.00	-152	5.2	23765	1812	160	2165	2
61187.00	89.50	284599.00	3351.00	1650.00	110929.00	1950.00	864	6.5	50310	1481	194	3321	3
63221.00	96.20	328975.00	2099.00	3099.00	112075.00	1951.00	2898	13.2	94686	229	1643	4467	4
63639.00	98.10	346999.00	1932.00	3594.00	113270.00	1952.00	3316	15.1	112710	62	2138	5662	5
64989.00	99.00	365385.00	1870.00	3547.00	115094.00	1953.00	4666	16	131096	0	2091	7486	6
63761.00	100.00	363112.00	3578.00	3350.00	116219.00	1954.00	3438	17	128823	1708	1894	8611	7
66019.00	101.20	397469.00	2904.00	3048.00	117388.00	1955.00	5696	18.2	163180	1034	1592	9780	8
67857.00	104.60	419180.00	2822.00	2857.00	118734.00	1956.00	7534	21.6	184891	952	1401	11126	9
68169.00	108.40	442769.00	2936.00	2798.00	120445.00	1957.00	7846	25.4	208480	1066	1342	12837	10
66513.00	110.80	444546.00	4681.00	2637.00	121950.00	1958.00	6190	27.8	210257	2811	1181	14342	11
68655.00	112.60	482704.00	3813.00	2552.00	123366.00	1959.00	8332	29.6	248415	1943	1096	15758	12
69564.00	114.20	502601.00	3931.00	2514.00	125368.00	1960.00	9241	31.2	268312	2061	1058	17760	13
69331.00	115.70	518173.00	4806.00	2572.00	127852.00	1961.00	9008	32.7	283884	2936	1116	20244	14
70551.00	116.90	554894.00	4007.00	2827.00	130081.00	1962.00	10228	33.9	320605	2137	1371	22473	15
