A Treat. 	 B Treat 	 Y Score
1 	 1 	  106.977
1 	 1 	   83.038
1 	 1 	   93.708
1 	 1 	   72.374
1 	 1 	   88.389
1 	 1 	   96.488
1 	 1 	  111.434
1 	 1 	  117.739
1 	 1 	  108.180
1 	 1 	  117.492
1 	 1 	   86.840
1 	 1 	   97.733
1 	 1 	  113.146
1 	 1 	  100.075
1 	 1 	  111.087
1 	 1 	  100.709
1 	 1 	  101.011
1 	 1 	  101.240
1 	 1 	  118.992
1 	 1 	  115.694
1 	 2 	  109.123
1 	 2 	  130.310
1 	 2 	  111.110
1 	 2 	  120.389
1 	 2 	  102.651
1 	 2 	  104.807
1 	 2 	  110.585
1 	 2 	  109.059
1 	 2 	  117.135
1 	 2 	   99.953
1 	 2 	  108.818
1 	 2 	  120.006
1 	 2 	   93.582
1 	 2 	   99.437
1 	 2 	   93.737
1 	 2 	  105.787
1 	 2 	  100.124
1 	 2 	   96.601
1 	 2 	  146.047
1 	 2 	   97.733
2 	 1 	  102.993
2 	 1 	   95.500
2 	 1 	   89.970
2 	 1 	  111.166
2 	 1 	  123.451
2 	 1 	  118.628
2 	 1 	   85.215
2 	 1 	   97.151
2 	 1 	  103.635
2 	 1 	   99.774
2 	 1 	   86.719
2 	 1 	   75.933
2 	 1 	  108.860
2 	 1 	  102.613
2 	 1 	   90.046
2 	 1 	  105.815
2 	 1 	   98.993
2 	 1 	   58.404
2 	 1 	   96.606
2 	 1 	   97.908
2 	 2 	   90.298
2 	 2 	  109.183
2 	 2 	  114.572
2 	 2 	  106.149
2 	 2 	  114.551
2 	 2 	  101.000
2 	 2 	   92.255
2 	 2 	  108.561
2 	 2 	   98.972
2 	 2 	  108.549
2 	 2 	   90.566
2 	 2 	  114.653
2 	 2 	   72.408
2 	 2 	  111.987
2 	 2 	   67.897
2 	 2 	  109.324
2 	 2 	  113.276
2 	 2 	   94.442
2 	 2 	  120.322
2 	 2 	   88.192
3 	 1 	  108.635
3 	 1 	   68.044
3 	 1 	   88.643
3 	 1 	  111.763
3 	 1 	   98.387
3 	 1 	  103.728
3 	 1 	   92.337
3 	 1 	  122.964
3 	 1 	   78.068
3 	 1 	   84.570
3 	 1 	  102.651
3 	 1 	  105.215
3 	 1 	  103.434
3 	 1 	   69.521
3 	 1 	  111.393
3 	 1 	   81.035
3 	 1 	   99.332
3 	 1 	   76.164
3 	 1 	  105.398
3 	 1 	   93.881
3 	 2 	  110.532
3 	 2 	  106.666
3 	 2 	   93.424
3 	 2 	   87.410
3 	 2 	  130.532
3 	 2 	  113.090
3 	 2 	  111.026
3 	 2 	   97.746
3 	 2 	   92.990
3 	 2 	   91.370
3 	 2 	   78.915
3 	 2 	  107.975
3 	 2 	   91.205
3 	 2 	   96.334
3 	 2 	   93.404
3 	 2 	  131.774
3 	 2 	   98.115
3 	 2 	   99.360
3 	 2 	   76.709
3 	 2 	  105.694
