VAR/CASE	GPA	GREQ	GREV	MAT	AR	
CASE:1	3.20	625.00	540.00	65.00	2.70	
CASE:2	4.10	575.00	680.00	75.00	4.50	
CASE:3	3.00	520.00	480.00	65.00	2.50	
CASE:4	2.60	545.00	520.00	55.00	3.10	
CASE:5	3.70	520.00	490.00	75.00	3.60	
CASE:6	4.00	655.00	535.00	65.00	4.30	
CASE:7	4.30	630.00	720.00	75.00	4.60	
CASE:8	2.70	500.00	500.00	75.00	3.00	
CASE:9	3.60	605.00	575.00	65.00	4.70	
CASE:10	4.10	555.00	690.00	75.00	3.40	
CASE:11	2.70	505.00	545.00	55.00	3.70	
CASE:12	2.90	540.00	515.00	55.00	2.60	
CASE:13	2.50	520.00	520.00	55.00	3.10	
CASE:14	3.00	585.00	710.00	65.00	2.70	
CASE:15	3.30	600.00	610.00	85.00	5.00	
CASE:16	3.20	625.00	540.00	65.00	2.70	
CASE:17	4.10	575.00	680.00	75.00	4.50	
CASE:18	3.00	520.00	480.00	65.00	2.50	
CASE:19	2.60	545.00	520.00	55.00	3.10	
CASE:20	3.70	520.00	490.00	75.00	3.60	
CASE:21	4.00	655.00	535.00	65.00	4.30	
CASE:22	4.30	630.00	720.00	75.00	4.60	
CASE:23	2.70	500.00	500.00	75.00	3.00	
CASE:24	3.60	605.00	575.00	65.00	4.70	
CASE:25	4.10	555.00	690.00	75.00	3.40	
CASE:26	2.70	505.00	545.00	55.00	3.70	
CASE:27	2.90	540.00	515.00	55.00	2.60	
CASE:28	2.50	520.00	520.00	55.00	3.10	
CASE:29	3.00	585.00	710.00	65.00	2.70	
CASE:30	3.30	600.00	610.00	85.00	5.00	
