SBL	Percent Solids	SBLGrps	SBLGroups
20	8.60	2	1
20	8.60	2	1
20	8.20	2	1
20	8.30	2	1
20	8.40	2	1
20	8.60	2	1
20	8.80	2	1
20	8.40	2	1
20	8.20	2	1
20	9.00	2	1
20	9.50	2	1
20	10.50	2	1
20	9.70	2	1
20	9.50	2	1
20	9.20	2	1
20	9.30	2	1
20	9.20	2	1
20	9.00	2	1
20	9.20	2	1
20	8.40	2	1
20	8.80	2	1
20	8.50	2	1
20	8.50	2	1
20	8.50	2	1
20	8.40	2	1
20	8.50	2	1
20	8.70	2	1
20	8.10	2	1
20	8.00	2	1
20	8.90	2	1
20	8.20	2	1
20	8.70	2	1
20	8.30	2	1
20	8.30	2	1
20	8.50	2	1
20	7.20	2	1
20	7.50	2	1
20	8.40	2	1
20	9.90	2	1
20	9.00	2	1
20	9.00	2	1
20	8.10	2	1
20	7.70	2	1
20	9.20	2	1
20	8.70	2	1
20	8.50	2	1
20	7.40	2	1
20	8.40	2	1
20	8.80	2	1
20	7.80	2	1
20	8.40	2	1
20	7.40	2	1
20	8.60	2	1
20	7.50	2	1
20	7.90	2	1
20	6.50	2	1
20	6.70	2	1
20	6.60	2	1
20	7.50	2	1
20	6.80	2	1
20	7.50	2	1
20	7.60	2	1
20	6.30	2	1
20	8.20	2	1
20	8.30	2	1
20	8.50	2	1
20	8.30	2	1
20	8.00	2	1
20	8.70	2	1
20	8.80	2	1
20	7.70	2	1
20	8.00	2	1
20	8.10	2	1
20	7.10	2	1
20	7.40	2	1
20	7.40	2	1
20	7.10	2	1
20	7.80	2	1
20	7.60	2	1
20	7.10	2	1
20	7.20	2	1
30	8.00	3	2
30	7.70	3	2
30	8.10	3	2
30	8.00	3	2
30	8.30	3	2
30	7.80	3	2
30	8.80	3	2
30	8.00	3	2
30	8.30	3	2
30	9.80	3	2
30	9.80	3	2
30	9.20	3	2
30	8.90	3	2
30	8.80	3	2
30	9.30	3	2
30	9.60	3	2
30	9.50	3	2
30	8.40	3	2
30	8.80	3	2
30	9.10	3	2
30	8.30	3	2
30	8.50	3	2
30	8.60	3	2
30	8.80	3	2
30	8.70	3	2
30	8.40	3	2
30	8.60	3	2
30	8.20	3	2
30	9.00	3	2
30	7.50	3	2
30	9.90	3	2
30	8.00	3	2
30	7.70	3	2
30	8.50	3	2
30	7.20	3	2
30	8.10	3	2
30	7.80	3	2
30	8.80	3	2
30	7.40	3	2
30	7.60	3	2
30	8.60	3	2
30	8.70	3	2
30	8.90	3	2
30	8.80	3	2
30	8.20	3	2
30	8.60	3	2
30	9.00	3	2
30	8.80	3	2
30	7.60	3	2
30	6.80	3	2
30	7.30	3	2
30	6.90	3	2
30	8.10	3	2
30	6.90	3	2
30	7.50	3	2
30	7.80	3	2
30	7.80	3	2
30	7.90	3	2
30	8.80	3	2
30	8.70	3	2
30	9.30	3	2
30	8.70	3	2
30	7.20	3	2
30	10.00	3	2
30	7.90	3	2
30	8.50	3	2
30	8.90	3	2
30	7.50	3	2
30	7.40	3	2
30	7.20	3	2
30	7.40	3	2
30	7.50	3	2
30	6.80	3	2
30	6.60	3	2
30	7.30	3	2
30	8.10	3	2
40	8.50	4	3
40	8.10	4	3
40	8.20	4	3
40	8.30	4	3
40	8.40	4	3
40	8.20	4	3
40	8.60	4	3
40	9.70	4	3
40	9.40	4	3
40	8.50	4	3
40	9.40	4	3
40	8.50	4	3
40	9.00	4	3
40	9.60	4	3
40	9.30	4	3
40	9.10	4	3
40	8.50	4	3
40	8.20	4	3
40	8.50	4	3
40	8.10	4	3
40	8.20	4	3
40	8.40	4	3
40	8.40	4	3
40	8.20	4	3
40	8.50	4	3
40	7.60	4	3
40	8.80	4	3
40	8.80	4	3
40	8.90	4	3
40	9.00	4	3
40	8.80	4	3
40	8.40	4	3
40	8.00	4	3
40	7.80	4	3
40	8.10	4	3
40	7.20	4	3
40	10.00	4	3
40	7.30	4	3
40	8.60	4	3
40	8.20	4	3
40	9.50	4	3
40	8.00	4	3
40	8.40	4	3
40	8.30	4	3
40	8.30	4	3
40	8.10	4	3
40	9.20	4	3
40	9.00	4	3
40	9.20	4	3
40	7.70	4	3
40	9.20	4	3
40	7.60	4	3
40	7.70	4	3
40	8.50	4	3
40	8.40	4	3
40	9.10	4	3
40	8.90	4	3
40	8.60	4	3
40	7.90	4	3
40	9.50	4	3
40	8.90	4	3
40	9.10	4	3
40	9.60	4	3
40	7.40	4	3
40	7.40	4	3
40	7.40	4	3
40	8.00	4	3
40	7.50	4	3
40	7.60	4	3
40	7.30	4	3
40	7.50	4	3
40	7.30	4	3
50	8.80	5	4
50	8.50	5	4
50	9.10	5	4
50	7.90	5	4
50	8.00	5	4
50	8.00	5	4
50	9.20	5	4
50	9.20	5	4
50	8.50	5	4
50	9.50	5	4
50	9.40	5	4
50	9.70	5	4
50	9.80	5	4
50	10.00	5	4
50	9.70	5	4
50	9.50	5	4
50	9.20	5	4
50	9.70	5	4
50	8.90	5	4
50	8.90	5	4
50	8.70	5	4
50	8.00	5	4
50	8.70	5	4
50	9.50	5	4
50	9.40	5	4
50	8.70	5	4
50	8.60	5	4
50	9.00	5	4
50	8.40	5	4
50	8.90	5	4
50	9.10	5	4
50	9.00	5	4
50	9.00	5	4
50	8.20	5	4
50	9.40	5	4
50	9.20	5	4
50	8.90	5	4
50	9.40	5	4
50	8.80	5	4
50	9.30	5	4
50	8.60	5	4
50	9.20	5	4
50	9.90	5	4
50	9.20	5	4
50	10.10	5	4
50	8.80	5	4
50	7.80	5	4
50	9.90	5	4
50	8.70	5	4
50	10.00	5	4
50	8.90	5	4
50	8.00	5	4
50	8.10	5	4
50	8.60	5	4
50	9.10	5	4
50	8.50	5	4
50	6.50	5	4
50	8.00	5	4
50	9.00	5	4
50	7.40	5	4
50	7.80	5	4
50	7.50	5	4
50	6.50	5	4
50	9.20	5	4
50	9.40	5	4
50	8.60	5	4
50	9.30	5	4
50	10.10	5	4
50	8.50	5	4
50	8.50	5	4
50	9.10	5	4
50	9.80	5	4
50	7.90	5	4
50	7.50	5	4
50	7.60	5	4
50	8.10	5	4
50	7.80	5	4
50	8.00	5	4
50	7.90	5	4
50	7.60	5	4
50	7.90	5	4
20	8.10	2	1
20	8.00	2	1
20	8.20	2	1
20	8.00	2	1
20	8.20	2	1
20	7.50	2	1
20	8.10	2	1
20	8.10	2	1
20	6.90	2	1
20	8.70	2	1
20	6.70	2	1
20	8.00	2	1
20	9.00	2	1
20	7.70	2	1
20	7.90	2	1
20	7.20	2	1
20	6.60	2	1
20	9.00	2	1
20	7.80	2	1
20	8.10	2	1
20	8.40	2	1
20	7.60	2	1
20	7.90	2	1
20	8.00	2	1
20	8.20	2	1
20	8.30	2	1
20	7.50	2	1
20	6.60	2	1
20	7.00	2	1
20	7.00	2	1
20	6.60	2	1
20	7.00	2	1
20	6.70	2	1
20	6.80	2	1
20	7.00	2	1
20	6.70	2	1
20	6.20	2	1
20	6.50	2	1
20	6.30	2	1
20	6.60	2	1
20	6.70	2	1
20	6.30	2	1
20	6.60	2	1
20	6.60	2	1
20	6.80	2	1
20	7.60	2	1
20	7.20	2	1
20	7.30	2	1
20	6.90	2	1
20	7.10	2	1
20	7.40	2	1
20	7.10	2	1
20	7.10	2	1
20	6.80	2	1
20	6.70	2	1
20	6.70	2	1
20	7.10	2	1
20	6.20	2	1
20	6.90	2	1
20	6.50	2	1
20	6.90	2	1
20	7.10	2	1
20	7.00	2	1
20	7.50	2	1
20	7.30	2	1
20	7.60	2	1
20	7.30	2	1
20	7.30	2	1
20	7.40	2	1
20	7.30	2	1
20	7.40	2	1
20	7.30	2	1
20	6.60	2	1
20	7.00	2	1
20	6.60	2	1
20	7.10	2	1
20	6.90	2	1
20	6.90	2	1
20	6.80	2	1
20	6.70	2	1
20	7.10	2	1
30	8.60	3	2
30	8.40	3	2
30	10.40	3	2
30	8.70	3	2
30	8.70	3	2
30	7.90	3	2
30	8.30	3	2
30	8.50	3	2
30	8.20	3	2
30	7.50	3	2
30	7.90	3	2
30	7.50	3	2
30	8.20	3	2
30	8.20	3	2
30	9.00	3	2
30	9.20	3	2
30	8.30	3	2
30	9.10	3	2
30	8.50	3	2
30	8.10	3	2
30	8.10	3	2
30	8.20	3	2
30	8.00	3	2
30	7.20	3	2
30	7.60	3	2
30	8.00	3	2
30	7.20	3	2
30	8.60	3	2
30	7.90	3	2
30	7.70	3	2
30	7.50	3	2
30	7.50	3	2
30	7.40	3	2
30	7.90	3	2
30	7.90	3	2
30	7.80	3	2
30	6.90	3	2
30	6.80	3	2
30	6.70	3	2
30	7.00	3	2
30	6.80	3	2
30	6.50	3	2
30	6.90	3	2
30	7.00	3	2
30	6.90	3	2
30	8.00	3	2
30	9.20	3	2
30	8.10	3	2
30	6.90	3	2
30	7.90	3	2
30	7.80	3	2
30	8.20	3	2
30	7.00	3	2
30	8.50	3	2
30	6.50	3	2
30	6.80	3	2
30	6.80	3	2
30	7.60	3	2
30	6.80	3	2
30	6.80	3	2
30	6.80	3	2
30	6.90	3	2
30	6.90	3	2
30	7.70	3	2
