School	Enrollment	Cost/Pupil	AveTeach$	SATV	SATM	SATPartRat	10MCASEng	10MCASMth	S/TRatio	S/CRatio	DroptRate	%College	%2YrPub	%4YrPub	%2YrPri	%4YrPri	%Military	%Work	%Other
Abington	563.00	7243.00	45833.00	507.00	503.00	0.78	242.00	242.00	11.00	188.00	1.50	85.00	19.00	30.00	1.00	35.00	4.00	11.00	0.00
Acton-BoxboroughRegional	1490.00	6720.00	49260.00	587.00	603.00	0.91	253.00	256.00	17.00	213.00	0.10	93.00	4.00	32.00	2.00	55.00	1.00	3.00	3.00
AlgonquinRegional	1056.00	8070.00	47871.00	534.00	567.00	0.95	248.00	249.00	11.00	211.00	1.60	90.00	7.00	37.00	3.00	43.00	0.00	7.00	3.00
Amesbury	796.00	6385.00	38913.00	505.00	498.00	0.75	242.00	241.00	16.00	265.00	1.50	80.00	27.00	28.00	1.00	24.00	4.00	12.00	4.00
Andover	1626.00	6694.00	49402.00	544.00	575.00	0.94	245.00	248.00	14.00	232.00	0.70	93.00	9.00	37.00	1.00	46.00	0.00	5.00	2.00
Arlington	1059.00	7688.00	45039.00	526.00	535.00	0.91	246.00	245.00	12.00	267.00	1.20	91.00	10.00	27.00	0.00	54.00	1.00	5.00	3.00
Ashland	587.00	9160.00	42551.00	531.00	542.00	0.87	248.00	248.00	9.00	196.00	0.50	94.00	13.00	19.00	7.00	55.00	0.00	4.00	2.00
Attleboro	1549.00	5882.00	40582.00	499.00	496.00	0.72	236.00	235.00	13.00	194.00	3.90	63.00	20.00	19.00	2.00	22.00	5.00	26.00	6.00
Avon	469.00	8757.00	32067.00	481.00	439.00	0.66	238.00	233.00	13.00	235.00	2.60	88.00	21.00	23.00	4.00	40.00	10.00	2.00	0.00
Bedford	671.00	9167.00	49858.00	585.00	584.00	0.85	251.00	250.00	11.00	168.00	1.10	81.00	9.00	25.00	0.00	47.00	3.00	7.00	9.00
Belmont	979.00	6264.00	52003.00	568.00	594.00	1.00	253.00	252.00	16.00	196.00	0.80	84.00	2.00	15.00	0.00	67.00	0.00	1.00	15.00
Beverly	1287.00	6346.00	47015.00	518.00	512.00	0.74	240.00	240.00	12.00	184.00	5.70	88.00	26.00	25.00	3.00	34.00	2.00	9.00	1.00
BillericaMemorial	1452.00	5417.00	37835.00	504.00	516.00	0.85	240.00	239.00	15.00	290.00	2.00	100.00	16.00	33.00	7.00	45.00	0.00	0.00	0.00
BMCDurfee(FallRiver)	2849.00	6601.00	43752.00	432.00	456.00	0.46	229.00	227.00	15.00	219.00	6.90	68.00	36.00	21.00	0.00	11.00	2.00	25.00	5.00
Braintree	1350.00	6713.00	50624.00	518.00	512.00	0.82	250.00	247.00	12.00	225.00	0.70	80.00	5.00	25.00	9.00	41.00	4.00	13.00	3.00
Bridgewater-RaynhamRegional	1533.00	6245.00	52083.00	514.00	517.00	0.78	241.00	244.00	15.00	307.00	0.00	84.00	15.00	43.00	1.00	25.00	4.00	10.00	2.00
Brockton	3945.00	9601.00	47926.00	446.00	441.00	0.61	236.00	230.00	15.00	179.00	5.70	82.00	32.00	23.00	2.00	25.00	2.00	12.00	4.00
Bromfield(Harvard)	548.00	6897.00	42219.00	571.00	569.00	0.99	254.00	254.00	12.00	183.00	0.30	94.00	5.00	44.00	0.00	45.00	0.00	0.00	6.00
Brookline	1860.00	9345.00	52244.00	570.00	595.00	0.93	246.00	246.00	9.00	186.00	0.30	85.00	4.00	22.00	3.00	56.00	1.00	8.00	6.00
Burlington	891.00	8407.00	53377.00	490.00	512.00	0.89	245.00	244.00	12.00	149.00	0.30	91.00	11.00	33.00	2.00	45.00	2.00	5.00	2.00
BurncoatSenior(Worcester)	1137.00	5561.00	45106.00	467.00	457.00	0.55	230.00	227.00	13.00	227.00	6.90	72.00	26.00	25.00	0.00	21.00	7.00	15.00	6.00
CambridgeRindgeandLatin	1951.00	12586.00	59751.00	474.00	480.00	0.77	233.00	233.00	11.00	150.00	2.70	72.00	8.00	16.00	9.00	39.00	4.00	3.00	21.00
Canton	730.00	8001.00	46694.00	534.00	552.00	0.83	244.00	245.00	12.00	183.00	1.10	83.00	8.00	20.00	4.00	51.00	2.00	2.00	13.00
Carver	589.00	6934.00	44297.00	506.00	514.00	0.78	242.00	238.00	14.00	196.00	3.40	84.00	17.00	22.00	6.00	39.00	4.00	10.00	2.00
Chelmsford	1680.00	6041.00	47044.00	524.00	522.00	0.90	244.00	245.00	14.00	280.00	2.40	89.00	12.00	35.00	2.00	40.00	2.00	4.00	5.00
Chelsea	1109.00	9029.00	39411.00	391.00	436.00	0.49	226.00	227.00	12.00	158.00	9.20	69.00	24.00	10.00	19.00	16.00	3.00	17.00	11.00
CohassetJunior-Senoir	512.00	8526.00	48797.00	558.00	562.00	0.96	251.00	251.00	10.00	171.00	0.00	88.00	3.00	43.00	0.00	42.00	0.00	7.00	5.00
Concard-Carlisle	1056.00	9229.00	66654.00	575.00	599.00	1.00	252.00	253.00	12.00	151.00	0.30	94.00	2.00	26.00	0.00	66.00	0.00	3.00	3.00
Danvers	1042.00	6486.00	47476.00	490.00	496.00	0.76	246.00	245.00	13.00	261.00	1.50	90.00	21.00	15.00	6.00	48.00	1.00	6.00	3.00
Dedham	964.00	7930.00	48067.00	499.00	485.00	0.82	242.00	240.00	12.00	321.00	1.10	86.00	15.00	25.00	3.00	43.00	4.00	9.00	1.00
DohertyMemorial(Worcester)	1588.00	5561.00	45106.00	461.00	473.00	0.75	233.00	233.00	15.00	265.00	5.60	81.00	16.00	36.00	1.00	28.00	1.00	8.00	10.00
Dover-SherbornRegional	457.00	10306.00	55994.00	571.00	579.00	1.00	257.00	253.00	12.00	152.00	0.00	94.00	3.00	16.00	1.00	74.00	1.00	2.00	3.00
DracutSenoir	997.00	6547.00	45288.00	506.00	482.00	0.84	241.00	239.00	13.00	249.00	1.50	74.00	19.00	34.00	3.00	18.00	1.00	10.00	15.00
Duxbury	891.00	7264.00	51768.00	556.00	564.00	0.94	251.00	249.00	12.00	223.00	0.30	90.00	5.00	23.00	1.00	61.00	0.00	5.00	5.00
EastBridgewater	674.00	6228.00	49558.00	504.00	480.00	0.76	244.00	240.00	13.00	225.00	2.50	81.00	18.00	24.00	16.00	23.00	3.00	14.00	2.00
