N	Autumn	Winter	Spring
1	0	10	5
2	0	15	10
3	0	10	5
4	0	15	5
5	0	25	10
6	0	15	2
7	0		5
8	2	40	10
9	1	30	10
10	0	30	10
11	0	10	10
12	5	10	10
13			20
14	8	10	20
15		30	
16	8	10	
17	1	10	5
18	1	10	
19	3	10	10
20	5		40
21	8	10	5
22	5		5
23	5		
24	2		
25	3		
26	10		10
27	10	15	15
28	10		10
29	10	5	
30	25	5	
31	25		
32		3	
33	20	5	
34	15	8	30
35	15	3	50
36	10	5	
37	10	5	40
38	10	5	30
39		5	30
40	5	5	
41	10	5	
42	15		30
43	10	5	30
44	10	5	30
45		6	
46		5	
47	10	5	
48	10	5	30
49	10		30
50		10	15
51	10	10	25
52	10	10	20
53	1	10	25
54	5	10	30
55	0	5	20
56	0	5	30
57	0	5	3
58	2	5	5
59	0	10	10
60	0	5	5
61	0	5	5
62	0	15	15
63	0	10	5
64	0	10	1
65	3	5	6
66	5	5	10
67	5		10
68	5	10	5
69		5	0
70	5	5	1
71	10	10	0
72	4	5	
73	10	5	1
74	5		2
75	10	3	2
76	15	10	0
77	10	5	0
78	10	5	0
79	15		0
80	30	5	2
81	40	5	0
82	20	3	0
83	15	5	0
84	15	4	0
85	25	5	0
86	40	10	0
87	60	10	1
88	30		1
89	20	10	10
90	15	10	10
91			
92	25	10	5
93	40	10	
94	30	10	10
95	30	10	10
96	25	10	10
97	20	10	15
98			15
99	15	10	15
100	20		
101	5	20	
102		15	60
103	8	20	60
104	10		60
105	5	10	40
106		10	30
107		20	40
108	5		25
109	1	20	40
110	0	15	20
111	0	10	30
112	1	10	30
113	0		30
114	0	10	40
115	0	10	
116	0	10	40
117	0	10	25
118	2		30
119	5	10	40
120	2	10	40
121	4	10	50
122	1	3	
123	3	5	20
124	4	5	20
125	15		30
126	10	10	40
127	15	5	25
128	15	5	30
129	15	10	
130	5	5	
131	5	5	30
132	5	10	20
133	10	5	25
134	10	5	30
135	10	15	80
136	6	5	30
137	4	10	
138	5	15	30
139	10	10	40
140	10	20	20
141	20	15	25
142	15	20	40
143		15	40
144	5	15	35
145		10	50
146	10	8	50
147	30	20	100
148		20	40
149		30	20
150		20	15
151	5	20	
152	10	10	5
153	25	5	5
154	15	10	10
155	20	10	10
156	20	25	5
157	10	25	10
158	15	20	2
159		10	5
160	20	10	3
161	20	20	10
162	20	20	10
163	0	20	10
164	0	20	5
165	0	20	1
166	0	20	1
167	0	15	1
168	1	25	0
169	1	25	1
170		20	0
171	2		0
172	3	25	1
173		15	0
174	5	30	2
175			0
176	1	20	0
177	2	10	15
178	6	20	20
179	20	30	
180	15		20
181	25	5	20
182	15	20	10
183		30	30
184	10	40	30
185	15	40	30
186	15		
187	10	20	30
188	10	8	50
189	10	30	10
190		30	15
191	5	30	20
192	20	30	20
193	20		20
194	20	30	25
195	20	10	10
196	15	25	30
197		25	10
198		30	10
199	10	20	30
200	10		35
201	20	20	10
202	25	15	10
203	20	30	35
204	10	30	40
205	20	40	45
206	15	30	50
207	30	30	50
208	20	20	30
209	15	15	20
210	20	20	30
211	10	40	25
212	20	20	30
213	15		30
214	15	10	
215	15	30	5
216	15	10	5
217	1	40	35
218	0	40	10
219	0	30	15
220	0	30	15
221	0		20
222	0	30	15
223	1	10	8
224	0	30	10
225	0	20	10
226	0	30	20
227	0	30	10
228	0		20
229	0	30	15
230	1	20	
231	3	30	15
232	10	15	15
233	5	25	8
234	3	25	8
235	10	30	5
236	5	20	
237	10	10	5
238	15	25	7
239	10	25	5
240	10	25	5
241	30		60
242	15	15	35
243		10	30
244	10	10	5
245	15	20	5
246	15	15	20
247	5	20	25
248	10		
249	15	20	2
250	10	15	5
251	8	3	0
252	5	10	2
253	20	20	2
254	15	15	2
255	15	15	0
256	10	20	0
257	3	10	0
258	15	5	0
259	6	15	0
260	8	15	0
261	8	15	0
262	15	20	0
263	10	5	0
264	5	20	0
265	10	10	30
266	30	25	20
267	25		20
268	20	20	30
269	15	15	30
270	15	20	30
271	1	10	
272	0	5	20
273	0	15	15
274	0		30
275	0	10	30
276	0	10	15
277	1	6	50
278	0	20	40
279	0	15	50
280	0	15	40
281	0	15	
282	0	10	50
283	0	20	
284	1	20	40
285	3	20	50
286	10	10	
287	5	25	40
288	3	25	
289	10	20	50
290	5	10	50
291	10	25	40
292	15	15	20
293	10	10	50
294	10	15	50
295	30	10	
296	15	15	40
297		15	50
298	10	15	60
299	15	10	50
300	15	8	50
301	5	5	40
302	10		10
303	15	10	20
304	10	10	
305	8	10	
306	5	3	30
307	20	10	50
308	15	10	60
309	15	10	40
310	10	10	25
311	3	10	60
312	15	10	70
313	6	5	40
314	8	10	30
315	8		30
316	15	20	30
317	10	10	30
318	5	5	30
319	10	10	15
320	30	5	15
321	25	10	5
322	20	10	5
323	15		
324	15	10	5
325	1	5	5
326	0	10	5
327	1	3	2
328	2	10	6
329	1	15	
330	5		3
331	0	15	0
332	2	10	1
333	0	10	1
334		10	0
335	2		0
336	5	10	0
337	2	5	0
338	2	5	0
339	5	15	0
340	10	10	0
341	5	5	0
342	3	5	0
343	10	5	0
344	10	5	0
345	4	5	0
346	6	10	0
347	5	10	0
348	5	5	0
349	1	10	0
350	4	15	0
351	10	10	0
352	5	10	0
