weight	waist	pulse	chins	situps	jumps
191.00	36.00	50.00	5.00	162.00	60.00
189.00	37.00	52.00	2.00	110.00	60.00
193.00	38.00	58.00	12.00	101.00	101.00
162.00	35.00	62.00	12.00	105.00	37.00
189.00	35.00	46.00	13.00	155.00	58.00
182.00	36.00	56.00	4.00	101.00	42.00
211.00	38.00	56.00	8.00	101.00	38.00
167.00	34.00	60.00	6.00	125.00	40.00
176.00	31.00	74.00	15.00	200.00	40.00
154.00	33.00	56.00	17.00	251.00	250.00
169.00	34.00	50.00	17.00	120.00	38.00
166.00	33.00	52.00	13.00	210.00	115.00
154.00	34.00	64.00	14.00	215.00	105.00
247.00	46.00	50.00	1.00	50.00	50.00
193.00	36.00	46.00	6.00	70.00	31.00
202.00	37.00	62.00	12.00	210.00	120.00
176.00	37.00	54.00	4.00	60.00	25.00
157.00	32.00	52.00	11.00	230.00	80.00
156.00	33.00	54.00	15.00	225.00	73.00
138.00	33.00	68.00	2.00	110.00	43.00
