VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8
1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00
1.00	1.00	1.00	1.00	1.00	1.00	0.00	0.00
1.00	1.00	1.00	1.00	1.00	0.00	0.00	0.00
1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00
1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00
1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
1.00	1.00	1.00	1.00	1.00	0.00	0.00	0.00
1.00	1.00	1.00	1.00	1.00	1.00	0.00	0.00
1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00
1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
