VAR. 1 	VAR. 2 	VAR. 3 	VAR. 4 	VAR. 5 	Coll.Major
105.977 	15.208 	491.828 	1.602 	3.004 	1
95.488 	22.576 	520.803 	3.117 	4.061 	3
85.840 	16.079 	512.047 	2.958 	3.595 	4
99.709 	19.945 	500.236 	3.916 	3.949 	0
104.123 	29.261 	509.419 	3.577 	3.744 	4
99.807 	21.823 	505.326 	3.539 	3.404 	1
103.818 	25.766 	486.302 	2.851 	3.348 	0
100.787 	18.532 	489.172 	5.236 	3.243 	5
109.993 	22.832 	498.739 	3.818 	4.590 	2
125.628 	22.531 	512.153 	3.063 	3.976 	2
93.719 	13.055 	518.817 	3.314 	3.168 	0
112.815 	24.560 	458.302 	3.612 	3.858 	3
89.298 	20.587 	514.985 	3.173 	3.863 	3
100.000 	17.085 	509.761 	2.766 	3.648 	4
89.566 	22.464 	460.047 	4.241 	2.469 	1
108.324 	25.757 	493.816 	3.958 	3.342 	1
111.635 	12.675 	491.798 	3.750 	3.405 	0
106.728 	19.791 	535.651 	1.454 	3.177 	4
105.651 	23.869 	510.022 	1.384 	4.096 	4
84.035 	17.584 	468.554 	4.066 	3.203 	5
107.532 	22.728 	489.547 	2.260 	4.468 	3
110.090 	24.693 	495.933 	2.418 	3.354 	0
75.915 	16.841 	478.234 	3.259 	2.926 	4
128.774 	24.126 	502.853 	1.275 	3.909 	5
105.806 	21.021 	478.647 	2.797 	3.869 	2
95.125 	19.010 	506.544 	3.593 	3.877 	4
110.709 	21.043 	519.122 	3.219 	4.309 	5
92.660 	24.955 	543.677 	3.411 	3.695 	1
117.147 	26.617 	504.600 	2.241 	3.547 	3
107.022 	20.724 	505.841 	3.632 	3.669 	0
89.498 	21.400 	478.877 	3.779 	4.608 	1
97.021 	20.718 	482.939 	3.763 	3.196 	2
100.277 	25.328 	491.896 	2.996 	3.573 	3
90.305 	22.647 	460.154 	3.991 	3.413 	0
111.303 	20.774 	495.199 	2.081 	4.471 	5
110.255 	28.760 	517.313 	2.012 	3.548 	1
107.627 	19.969 	443.379 	4.311 	2.737 	3
98.459 	11.927 	525.715 	1.828 	2.853 	1
107.731 	22.185 	487.950 	2.100 	3.899 	4
90.972 	17.987 	506.114 	3.880 	3.351 	2
109.077 	20.644 	503.860 	3.644 	3.689 	0
79.914 	6.980 	505.857 	2.989 	2.650 	0
101.505 	19.330 	558.884 	2.306 	2.924 	2
107.468 	27.191 	491.663 	3.452 	4.937 	2
99.922 	17.572 	482.688 	2.601 	3.530 	5
83.319 	14.611 	473.488 	3.460 	2.946 	5
90.568 	14.601 	447.041 	3.913 	3.449 	2
105.467 	7.543 	482.355 	1.814 	3.123 	3
73.063 	23.878 	474.201 	1.673 	2.417 	4
98.453 	25.809 	486.298 	4.081 	3.043 	0
