normal	Norm2	aNormal	BNorm2	y
0.40	0.16	1.99	0.32	2.31
-1.20	1.43	-5.99	2.86	-3.13
-0.49	0.24	-2.43	0.48	-1.95
-1.91	3.64	-9.54	7.28	-2.26
-0.84	0.71	-4.21	1.42	-2.79
-0.30	0.09	-1.50	0.18	-1.32
0.70	0.48	3.48	0.96	4.44
1.12	1.25	5.58	2.50	8.08
0.48	0.23	2.40	0.46	2.86
1.10	1.21	5.50	2.42	7.92
-0.94	0.89	-4.72	1.78	-2.94
-0.22	0.05	-1.09	0.10	-0.99
0.81	0.66	4.05	1.32	5.37
-0.06	0.00	-0.31	0.00	-0.31
0.67	0.45	3.36	0.90	4.26
-0.02	0.00	-0.10	0.00	-0.10
0.00	0.00	0.01	0.00	0.01
0.02	0.00	0.08	0.00	0.08
1.20	1.44	6.00	2.88	8.88
0.98	0.96	4.90	1.92	6.82
