Norm	Pcntile	ztimes100
0.3980	65.1250	39.8000
-1.1970	11.8750	-119.7000
-0.4860	30.8750	-48.6000
-1.9080	2.6250	-190.8000
-0.8410	19.3750	-84.1000
-0.3010	37.3750	-30.1000
0.6960	77.8750	69.6000
1.1160	90.1250	111.6000
0.4790	68.6250	47.9000
1.0990	89.3750	109.9000
-0.9440	16.8750	-94.4000
-0.2180	40.1250	-21.8000
0.8100	82.0000	81.0000
-0.0620	47.3750	-6.2000
0.6720	76.8750	67.2000
-0.0190	49.6250	-1.9000
0.0010	51.3750	0.1000
0.0160	51.6250	1.6000
1.1990	91.8750	119.9000
0.9800	86.3750	98.0000
0.2750	61.6250	27.5000
1.6870	95.3750	168.7000
0.4070	65.8750	40.7000
1.0260	87.8750	102.6000
-0.1570	44.1250	-15.7000
-0.0130	49.8750	-1.3000
0.3720	64.1250	37.2000
0.2710	61.3750	27.1000
0.8090	81.6250	80.9000
-0.3360	35.1250	-33.6000
0.2550	60.8750	25.5000
1.0000	87.1250	100.0000
-0.7610	21.3750	-76.1000
-0.3710	34.2500	-37.1000
-0.7510	21.6250	-75.1000
0.0520	53.3750	5.2000
-0.3250	35.7500	-32.5000
-0.5600	28.3750	-56.0000
2.7360	99.6250	273.6000
-0.4840	31.1250	-48.4000
0.6660	76.6250	66.6000
0.1670	57.1250	16.7000
-0.2020	41.2500	-20.2000
1.2110	92.1250	121.1000
2.0300	98.1250	203.0000
1.7090	95.6250	170.9000
-0.5190	29.3750	-51.9000
0.2770	61.8750	27.7000
0.7090	78.3750	70.9000
0.4520	67.7500	45.2000
-0.4190	32.8750	-41.9000
-1.1380	12.8750	-113.8000
1.0570	88.7500	105.7000
0.6410	75.8750	64.1000
-0.1970	41.8750	-19.7000
0.8540	83.6250	85.4000
0.4000	65.5000	40.0000
-2.3060	1.3750	-230.6000
0.2400	59.5000	24.0000
0.3270	62.7500	32.7000
-0.7130	22.1250	-71.3000
0.5460	72.3750	54.6000
0.9050	84.3750	90.5000
0.3430	63.6250	34.3000
0.9030	84.1250	90.3000
-0.0000	51.1250	0.0000
-0.5830	27.6250	-58.3000
0.5040	70.3750	50.4000
-0.1350	45.1250	-13.5000
0.5030	70.1250	50.3000
-0.6960	22.8750	-69.6000
0.9100	84.6250	91.0000
-1.9060	2.8750	-190.6000
0.7320	79.6250	73.2000
-2.2070	1.6250	-220.7000
0.5550	72.8750	55.5000
0.8180	82.6250	81.8000
-0.4370	32.1250	-43.7000
1.2880	93.8750	128.8000
-0.8540	19.0000	-85.4000
0.7760	80.6250	77.6000
-1.9300	2.1250	-193.0000
-0.5570	28.6250	-55.7000
0.9840	86.8750	98.4000
0.0920	54.6250	9.2000
0.4490	67.2500	44.9000
-0.3110	36.7500	-31.1000
1.7310	95.8750	173.1000
-1.2620	11.6250	-126.2000
-0.8290	19.8750	-82.9000
0.3770	64.3750	37.7000
0.5480	72.6250	54.8000
0.4290	66.6250	42.9000
-1.8320	3.6250	-183.2000
0.9600	86.1250	96.0000
-1.0640	14.8750	-106.4000
0.1550	56.6250	15.5000
-1.3890	9.6250	-138.9000
0.5600	73.3750	56.0000
-0.2080	40.8750	-20.8000
0.5020	69.8750	50.2000
0.2440	60.1250	24.4000
-0.6380	25.6250	-63.8000
-1.0390	15.1250	-103.9000
1.8350	96.5000	183.5000
0.6730	77.1250	67.3000
0.5350	71.8750	53.5000
-0.3500	34.6250	-35.0000
-0.6670	24.1250	-66.7000
-0.7750	20.8750	-77.5000
-1.6060	5.8750	-160.6000
0.3320	63.1250	33.2000
-0.7860	20.5000	-78.6000
-0.4440	31.8750	-44.4000
-0.6400	25.3750	-64.0000
1.9180	97.8750	191.8000
-0.3260	35.3750	-32.6000
-0.2430	38.8750	-24.3000
-1.7530	4.8750	-175.3000
