Normz	zx100
0.398	39.8000
-1.197	-119.7000
-0.486	-48.6000
-1.908	-190.8000
-0.841	-84.1000
-0.301	-30.1000
0.696	69.6000
1.116	111.6000
0.479	47.9000
1.099	109.9000
-0.944	-94.4000
-0.218	-21.8000
0.810	81.0000
-0.062	-6.2000
0.672	67.2000
-0.019	-1.9000
0.001	0.1000
0.016	1.6000
1.199	119.9000
0.980	98.0000
0.275	27.5000
1.687	168.7000
0.407	40.7000
1.026	102.6000
-0.157	-15.7000
-0.013	-1.3000
0.372	37.2000
0.271	27.1000
0.809	80.9000
-0.336	-33.6000
0.255	25.5000
1.000	100.0000
-0.761	-76.1000
-0.371	-37.1000
-0.751	-75.1000
0.052	5.2000
-0.325	-32.5000
-0.560	-56.0000
2.736	273.6000
-0.484	-48.4000
0.666	66.6000
0.167	16.7000
-0.202	-20.2000
1.211	121.1000
2.030	203.0000
1.709	170.9000
-0.519	-51.9000
0.277	27.7000
0.709	70.9000
0.452	45.2000
-0.419	-41.9000
-1.138	-113.8000
1.057	105.7000
0.641	64.1000
-0.197	-19.7000
0.854	85.4000
0.400	40.0000
-2.306	-230.6000
0.240	24.0000
0.327	32.7000
-0.713	-71.3000
0.546	54.6000
0.905	90.5000
0.343	34.3000
0.903	90.3000
-0.000	0.0000
-0.583	-58.3000
0.504	50.4000
-0.135	-13.5000
0.503	50.3000
-0.696	-69.6000
0.910	91.0000
-1.906	-190.6000
0.732	73.2000
-2.207	-220.7000
0.555	55.5000
0.818	81.8000
-0.437	-43.7000
1.288	128.8000
-0.854	-85.4000
0.776	77.6000
-1.930	-193.0000
-0.557	-55.7000
0.984	98.4000
0.092	9.2000
0.449	44.9000
-0.311	-31.1000
1.731	173.1000
-1.262	-126.2000
-0.829	-82.9000
0.377	37.7000
0.548	54.8000
0.429	42.9000
-1.832	-183.2000
0.960	96.0000
-1.064	-106.4000
0.155	15.5000
-1.389	-138.9000
0.560	56.0000
-0.208	-20.8000
0.502	50.2000
0.244	24.4000
-0.638	-63.8000
-1.039	-103.9000
1.835	183.5000
0.673	67.3000
0.535	53.5000
-0.350	-35.0000
-0.667	-66.7000
-0.775	-77.5000
-1.606	-160.6000
0.332	33.2000
-0.786	-78.6000
-0.444	-44.4000
-0.640	-64.0000
1.918	191.8000
-0.326	-32.6000
-0.243	-24.3000
-1.753	-175.3000
0.180	18.0000
0.387	38.7000
-0.028	-2.8000
-1.168	-116.8000
-0.570	-57.0000
0.676	67.6000
-0.325	-32.5000
-0.003	-0.3000
0.400	40.0000
0.821	82.1000
0.951	95.1000
0.714	71.4000
-0.220	-22.0000
0.832	83.2000
0.810	81.0000
1.502	150.2000
-0.489	-48.9000
1.285	128.5000
2.316	231.6000
1.254	125.4000
0.159	15.9000
1.143	114.3000
0.637	63.7000
-0.005	-0.5000
-0.624	-62.4000
-0.600	-60.0000
0.468	46.8000
-0.136	-13.6000
0.204	20.4000
1.046	104.6000
0.197	19.7000
-0.700	-70.0000
0.700	70.0000
-0.942	-94.2000
0.472	47.2000
2.513	251.3000
-0.199	-19.9000
0.263	26.3000
-0.833	-83.3000
0.640	64.0000
-0.650	-65.0000
0.018	1.8000
1.054	105.4000
-0.428	-42.8000
-0.133	-13.3000
-0.183	-18.3000
-0.646	-64.6000
0.917	91.7000
-1.911	-191.1000
0.419	41.9000
-0.169	-16.9000
0.754	75.4000
-0.297	-29.7000
-0.396	-39.6000
-1.117	-111.7000
1.904	190.4000
0.684	68.4000
1.342	134.2000
0.730	73.0000
-0.786	-78.6000
-0.644	-64.4000
0.508	50.8000
-0.311	-31.1000
-2.990	-299.0000
0.783	78.3000
-1.724	-172.4000
-0.103	-10.3000
-1.553	-155.3000
1.349	134.9000
-1.110	-111.0000
-0.881	-88.1000
0.515	51.5000
0.128	12.8000
-0.721	-72.1000
-1.277	-127.7000
0.629	62.9000
-0.602	-60.2000
-0.042	-4.2000
0.435	43.5000
1.121	112.1000
-0.067	-6.7000
